,0,1,2,3,4,5,6,7
449,2015,Ford,Edge,Sport,AWD,44290,25237,
450,2015,Ford,Edge,SEL,AWD,61150,20894,
451,2016,Ford,Edge,SE,FWD,62655,20999,
452,2016,Ford,Edge,SEL,FWD,15581,24950,
453,2016,Ford,Edge,Titanium,AWD,42348,25991,
454,2008,Ford,Edge,SE,FWD,160748,7682,
455,2014,Ford,Edge,Limited,AWD,118563,14995,
456,2018,Ford,Edge,Titanium,AWD,31561,27384,
457,2015,Ford,Edge,Sport,AWD,37929,24990,
458,2015,Ford,Edge,Sport,FWD,39639,25000,
459,2018,Ford,Edge,Titanium,AWD,38200,27000,
460,2017,Ford,Edge,Titanium,AWD,24398,27990,
461,2016,Ford,Edge,Titanium,AWD,52091,23990,
462,2018,Ford,Edge,Titanium,AWD,32184,27805,
463,2014,Ford,Edge,Limited,FWD,59591,18500,
464,2017,Ford,Edge,Titanium,FWD,16205,26995,
465,2016,Ford,Edge,Titanium,AWD,43239,25393,
466,2017,Ford,Edge,Titanium,AWD,16149,28989,
467,2016,Ford,Edge,SE,AWD,24892,23995,
468,2017,Ford,Edge,Titanium,FWD,35112,23873,
469,2016,Ford,Edge,Titanium,AWD,59719,23988,
470,2011,Ford,Edge,Limited,FWD,90482,14992,
471,2015,Ford,Edge,Sport,FWD,27715,24888,
472,2012,Ford,Edge,Limited,AWD,95899,15000,
473,2015,Ford,Edge,Sport,AWD,70612,21700,
474,2016,Ford,Edge,SEL,FWD,32164,23877,
475,2016,Ford,Edge,SEL,FWD,13909,24973,
476,2015,Ford,Edge,Sport,AWD,32130,25999,
477,2015,Ford,Edge,SEL,AWD,73074,19361,
478,2016,Ford,Edge,SEL,FWD,55866,21379,
479,2016,Ford,Edge,SEL,FWD,22807,24295,
480,2016,Ford,Edge,Titanium,AWD,36720,25999,
481,2017,Ford,Edge,Titanium,FWD,54703,21999,
482,2014,Ford,Edge,Limited,AWD,33929,21973,
